date,NZD
2006-08-01,7.49
2006-09-01,7.56
2006-10-01,7.66
2006-11-01,7.61
2006-12-01,7.66
2007-01-01,7.7
2007-02-01,7.75
2007-03-01,7.88
2007-04-01,7.98
2007-05-01,8.09
2007-06-01,8.32
2007-07-01,8.44
2007-08-01,8.72
2007-09-01,8.81
2007-10-01,8.68
2007-11-01,8.73
2007-12-01,8.9
2008-01-01,8.75
2008-02-01,8.82
2008-03-01,8.91
2008-04-01,8.87
2008-05-01,8.71
2008-06-01,8.68
2008-07-01,8.46
2008-08-01,8.2
2008-09-01,7.95
2008-10-01,7.43
2008-11-01,6.25
2008-12-01,5.23
2009-01-01,4.38
2009-02-01,3.4
2009-03-01,3.24
2009-04-01,3.12
2009-05-01,2.82
2009-06-01,2.78
2009-07-01,2.79
2009-08-01,2.76
2009-09-01,2.77
2009-10-01,2.79
2009-11-01,2.8
2009-12-01,2.78
2010-01-01,2.78
2010-02-01,2.73
2010-03-01,2.67
2010-04-01,2.69
2010-05-01,2.89
2010-06-01,3.07
2010-07-01,3.23
2010-08-01,3.25
2010-09-01,3.18
2010-10-01,3.18
2010-11-01,3.17
2010-12-01,3.17
2011-01-01,3.19
2011-02-01,3.13
2011-03-01,2.69
2011-04-01,2.65
2011-05-01,2.66
2011-06-01,2.65
2011-07-01,2.71
2011-08-01,2.9
2011-09-01,2.88
2011-10-01,2.76
2011-11-01,2.69
2011-12-01,2.69
2012-01-01,2.74
2012-02-01,2.75
2012-03-01,2.74
2012-04-01,2.74
2012-05-01,2.59
2012-06-01,2.61
2012-07-01,2.67
2012-08-01,2.64
2012-09-01,2.64
2012-10-01,2.65
2012-11-01,2.64
2012-12-01,2.65
2013-01-01,2.66
2013-02-01,2.66
2013-03-01,2.64
2013-04-01,2.65
2013-05-01,2.64
2013-06-01,2.64
2013-07-01,2.64
2013-08-01,2.64
2013-09-01,2.65
2013-10-01,2.67
2013-11-01,2.66
2013-12-01,2.73
2014-01-01,2.88
2014-02-01,2.93
2014-03-01,3.05
2014-04-01,3.24
2014-05-01,3.38
2014-06-01,3.52
2014-07-01,3.67
2014-08-01,3.69
2014-09-01,3.71
2014-10-01,3.68
2014-11-01,3.67
2014-12-01,3.67
2015-01-01,3.67
2015-02-01,3.63
2015-03-01,3.63
2015-04-01,3.63
2015-05-01,3.53
2015-06-01,3.33
2015-07-01,3.13
2015-08-01,2.95
2015-09-01,2.85
2015-10-01,2.86
2015-11-01,2.89
2015-12-01,2.79
2016-01-01,2.73
2016-02-01,2.62
2016-03-01,2.43
2016-04-01,2.34
2016-05-01,2.38
2016-06-01,2.37
2016-07-01,2.37
2016-08-01,2.24
2016-09-01,2.23
2016-10-01,2.15
2016-11-01,2.07
2016-12-01,2.03
2017-01-01,1.98
2017-02-01,2.02
2017-03-01,1.98
2017-04-01,1.97
2017-05-01,1.98
2017-06-01,1.95
2017-07-01,1.96
2017-08-01,1.95
2017-09-01,1.95
2017-10-01,1.94
2017-11-01,1.93
2017-12-01,1.88
2018-01-01,1.88
2018-02-01,1.91
2018-03-01,1.93
2018-04-01,2.01
2018-05-01,2.01
2018-06-01,2.01
2018-07-01,1.94
2018-08-01,1.9
2018-09-01,1.9
2018-10-01,1.89
2018-11-01,1.98
2018-12-01,1.98
2019-01-01,1.91
2019-02-01,1.9
2019-03-01,1.88
2019-04-01,1.81
2019-05-01,1.72
2019-06-01,1.6
2019-07-01,1.55
2019-08-01,1.25
2019-09-01,1.15
2019-10-01,1.05
2019-11-01,1.18
2019-12-01,1.22
2020-01-01,1.27
2020-02-01,1.18
2020-03-01,0.71
2020-04-01,0.39
2020-05-01,0.26
2020-06-01,0.28
2020-07-01,0.3
2020-08-01,0.29
2020-09-01,0.3
2020-10-01,0.27
2020-11-01,0.27
2020-12-01,0.26
2021-01-01,0.28
2021-02-01,0.28
2021-03-01,0.33
2021-04-01,0.34
2021-05-01,0.35
2021-06-01,0.33
2021-07-01,0.4
2021-08-01,0.54
2021-09-01,0.57
2021-10-01,0.7
2021-11-01,0.83
2021-12-01,0.91
2022-01-01,1.03
2022-02-01,1.21
2022-03-01,1.49
2022-04-01,1.81
2022-05-01,2.22
2022-06-01,2.68
2022-07-01,3.03
2022-08-01,3.31
2022-09-01,3.64
2022-10-01,4.0
2022-11-01,4.24
2022-12-01,4.53
2023-01-01,4.81
2023-02-01,5.01
2023-03-01,5.15
2023-04-01,5.49
2023-05-01,5.67
2023-06-01,5.68
2023-07-01,5.67
2023-08-01,5.64
2023-09-01,5.68
2023-10-01,5.68
2023-11-01,5.63
2023-12-01,5.63
2024-01-01,5.64
2024-02-01,5.71
2024-03-01,5.64
2024-04-01,5.63
2024-05-01,5.62
2024-06-01,5.62
2024-07-01,5.55
2024-08-01,5.3
2024-09-01,5.05
2024-10-01,4.65
2024-11-01,4.42
2024-12-01,4.27
2025-01-01,4.05
2025-02-01,3.81
2025-03-01,3.67
2025-04-01,3.49
2025-05-01,3.34
2025-06-01,3.3
2025-07-01,3.25
2025-08-01,3.1
2025-09-01,2.93
2025-10-01,2.58
2025-11-01,2.47
2025-12-01,2.49
2026-01-01,2.5
2026-02-01,2.49
2026-03-01,2.51
2026-04-01,2.56
2026-05-01,2.63
2026-06-01,2.68
